第一部	الْجُزْءُ الْأَوَّل
《激情诗集》，《塔马姆诗集》（语言学诗篇，诗人：艾布.塔玛目）	دِيوَانُ الْحَمَاسَةِ (تَأْلِيفُ: أَبُو تَمَّام)
《金和土》（现代阿文文学诗篇；诗人：伊利亚.艾布.马迪）	تِبْرٌ و تُرَابٌ (أَحَدُ الدَّوَاوينِ الشِّعْرِيَّةِ لِإيلْيَا أَبُو مَاضِي)
《渴望诗集》（苏菲诗集；作者：伊本.阿拉比）	تَرْجُمَانُ الْأَشْوَاقِ (دِيوَانٌ فِي الْحُبِّ الْإِلَهِي؛ تَأْلِيفُ: ابْنُ عَرَبِيّ)
《黎巴嫩中的现代文学潮流》（阿拉伯文学之书；作家：萨拉赫.路巴基）	التَّيَّارَاتُ الْأَدَبِيَّةُ الْحَدِيثَةُ فِي لُبْنَانَ (فِي تَأْرِيخِ الْأَدَبِ الْعَرَبِيِّ الْمُعَاصِرِ؛ تَأْلِيفُ: صَلَاحُ اللُّبَكِيّ)
《鲁祖米亚特》（阿拉伯诗篇，诗人：艾布.阿拉.马阿里）	دِيوَانُ اللُّزُومِيَّاتِ (دِيوَانٌ شِعْرِيٌّ؛ تَأْلِيفُ: أَبُو الْعَلَاءِ الْمَعَرِّيّ)
《论蒙昧时代诗歌》（语言诗学评述著作；作家：塔哈.胡赛因，该书的内容引起了近现代穆斯林学者的分歧）	فِي الشِّعْر الْجَاهِلِيّ (مِنْ كُتُبِ طَهَ حُسَيْن النَّقْدِيَّة الَّتِي أَحْدَثَت اخْتِلَافًا حَوْلَ مَضْمُونِهَا مِنْ قِبَلِ الْبَاحِثِينَ الْإِسْلَامِيِّينَ)
《绿菌诗集》（阿拉伯文近代诗篇，诗人：伊利亚.阿布.马迪）	الْخَمَائِل (دِيوَان شِعْرِيٌّ؛ تَأْلِيفُ: إيليا أَبُو مَاضِي)
《米赫雅尔•代莱米诗集》（大诗集，四卷；诗人：代莱米）	دِيوَانُ مِهْيارِ الدَّيْلَمِيّ (دِيوَان شِعْرِي كَبِيرٌ فِي أَرْبَع مُجَلَّدَات؛ تَأْلِيفُ: مِهْيَارُ الدَّيْلَمِيّ)
《纳比加.组比亚尼》	دِيوَانُ النَّابِغَةَ الذُّبْيَانِيّ
《日哈尼亚特诗集》（阿拉伯语语言学，近代作家：艾敏.李哈尼）	الرَّيْحَانِيَّات (دِيوَانٌ شِعْرِيٌّ لِلْأَدِيبِ الْمُعَاصِر: أَمِينُ الرِّيحَانِي)
《撒比诗人的选诗》（阿拉伯语言学；诗人：谢里夫.拉迪）	مُخْتَارَاتٌ مِنْ شِعْرِ الصَّابِي ‏(فِي ‏الشِّعْر؛ تَأْلِيفُ: الشَّرِيفُ الرَّضِيّ)
《沙姆斯.大不里士诗集》；参见：《沙姆斯诗集》	دِيوَانُ شَمْسِ الدِّينِ التِّبْرِيزِيِّ (راجع مادة: دِيوَان شَمْسُ الدِّين)
《沙姆斯诗集》（苏菲诗篇古籍；诗人：贾拉鲁丁.鲁米）	دِيوَانُ شَمْسِ الدِّين (ويُسَمّى: "دِيوَانُ الْعِشْقِ، دِيوَانُ التِّبْرِيزِيّ، أو الدِّيوَان الْكَبِير"، دِيوَانُ شِعْرٍ فِي التَّصَوُّف؛ تَأْلِيفُ: جَلَالُ الدِّينِ الرُّومِيّ)
《邵基诗集》（阿拉伯文学诗篇；诗人：绍基）	دِيوَانُ الشَّوْقِيَّاتِ (دِيوَان شِعْرِي: أَحْمَد شَوْقِي)
《生的意志》（现代阿拉伯文诗篇；诗人：艾布.加息慕.沙比）	إِرَادَةُ الْحَيَاةِ (قَصِيدَةٌ شِعْرِيَّةٌ بالِلُّغَةِ الْعَرَبِيَّة؛ لِلشَّاعِر التُونُسي: أَبُو الْقَاسِمِ الشَّابِيّ)
《圣人的斗篷》；参见：《天方诗经》	الْبُرْدَةُ النَّبَوِيَّةُ (راجع مادة: نَهْجُ الْبُرْدَةِ)
《竖琴》‎（阿拉伯文现代诗篇；诗人：艾布.巴拉卡）	الْقِيثَارَةُ (قَصِيدَة شِعْرِيَّة، لِلشَّاعِر: إِلْيَاس أَبُو بَرَكَة)
《苏菲人诗篇》（阿拉伯诗篇；诗人：艾敏.李哈尼）	دِيوَانُ أُنْشُودَةِ الْمُتَصَوُّفِينَ (دِيوَان شِعْرِي؛ تَأْلِيفُ: أَمِينُ الرِّيحَانِيّ)
《泰莱阿法里诗集》，《泉源诗集》（诗人：塔拉艾法利）	دِيوَانُ التَّلَّعْفَرِيّ، دِيوَانُ الْيَنَابِيعِ (دِيوَانٌ شِعْرِيٌّ لِلشَّاعِر: التَّلَّعْفَرِيّ)
《天堂的蛇》（阿拉伯文现代诗篇；诗人：艾布.沙巴卡）	قَصِيدَةُ أَفَاعِي الْفِرْدَوْس (قَصِيدَة شِعْرِيَّة؛ تَأْلِيفُ: إِلْيَاسُ أَبُو شَبَكَة)
《乌母鲁尔.盖斯诗集赏析》（语言和诗学古籍；作者：艾布.贾法尔.纳哈斯）	شَرْحُ دِيوَانُ امْرِئِ الْقَيْسِ (فِي الشِّعْرِ وَاللُّغَة؛ تَأْلِيفُ: أَبُو جَعْفَرِ النَّحَّاس)
《乌母鲁欧.盖斯诗集》	دِيوَانُ امْرِئِ الْقَيْسِ
《吴柏德.本.艾布拉斯诗集》	دِيوَانُ عُبَيْدِ ابْنِ الْأَبْرَصِ
《伍麦叶.本.阿比.萨乐特诗集》	دِيوَانُ أُمَيَّةَ ابْنِ أَبِي الصَّلْت
《溪流诗集》（现代阿文诗篇；诗人：伊利亚.艾布.马迪）	دِيوَانُ الْجَدَاوِلِ (دِيوَانٌ شِعْرِيٌّ مُعَاصِرٌ لِلشَّاعِر: إِيلْيَا أَبُو مَاضِي)
《眼泪与微笑诗集》（现代诗集；诗人：朱步兰.哈利勒.朱步兰）	دَمْعَةٌ وَابْتِسَامَةٌ (يَجْمَعُ قَصَائِدَ لـ:جُبْرَان خَلِيل جُبْرَان)
《伊本.鲁米诗集》（阿拉伯文学诗篇；诗人：伊本.鲁米）	دِيوَان ابْنِ الرُّومِيّ (دِيوَانٌ فِي التَّصَوُّفِ؛ تَأْلِيفُ: ابْنُ الرُّومِيّ)
《伊利亚诗集》（阿拉伯文学诗篇；作者：伊利亚.阿布.马迪）	دِيوَان إِيلِيَا (دِيوَان شِعْرِيٌّ؛ تَأْلِيفُ: إِيلْيَا أَبُو مَاضِي)
《伊斯兰各国及其伟人》（阿拉伯文学诗篇；诗人：艾哈迈德.绍基）	دِيوَانُ دُوَلُ الْعَرَبِ وَعُظَمَاءُ الْإِسْلَام (دِيوَانٌ شِعْرِيٌّ فِي تَأْرِيخ الدُّوَلِ الْإِسْلَامِيَّة؛ نَظْمُ: أَحْمَد شَوْقِي)
《约定诗集》（语言学诗篇作者：萨拉赫.路巴克）	دِيوَانُ مَوَاعِيد (دِيوَانٌ شِعْرِيّ لِلشَّاعِر: صَلَاحُ اللُّبَكِيّ)
《月亮跷跷板》（阿拉伯语言学诗篇；诗人：萨拉赫.路巴克）	دِيوَانُ أُرْجُوحَةِ الْقَمَرِ (دِيوَانٌ شِعْرِيّ لِلشَّاعِر: صَلَاحُ اللُّبَكِيّ)
《在金字塔下》（现代阿文文学诗篇；诗人：艾哈迈德.绍吉）	دِيوَانُ تَحْتَ سَفْحِ الْهَرَم (دِيوَانٌ شِعْرِيِّ: أَحْمَد شَوْقِي)
《智慧标志》（教训诗歌；诗人：布斯提）	قَصِيدَةُ عُنْوَانُ الحِكَم (تَأْلِيفُ: أَبُو الْفَتْحِ البُسْتِيّ)
《组海尔.本.艾比.苏乐马诗集》	دِيوَانُ زُهَيْرِ ابْنِ أَبِي سُلْمَى
阿拉伯世界各国的阿拉伯语学会及类似机构	أَهَمُّ الْمَجَامِعِ اللُّغَوِيَّةِ فِي الْعَالَمِ الْعَرَبِيِّ وَالْمُؤَسَّسَاتِ الْمُمَاثِلَةِ
阿尔及利亚阿拉伯语最高委员会（1991年）	الْمَجْلِسُ الْأَعْلَى لِلُّغَةِ الْعَرَبِيَّةِ بِالْجَزَائِر (1411هـ)
阿拉伯科学语言委员会联盟（1971年）	اتِّحَادُ الْمَجَامِعِ اللُّغَوِيَّةِ الْعِلْمِيَّةِ الْعَرَبِيَّةِ (1390هـ)
阿拉伯语舌头委员会（毛里塔尼亚）	مَجْلِسُ اللِّسَانِ الْعَرَبِيّ (موريتانيا)
巴格达学术学会（1947年）	الْمَجْمَعُ الْعِلْمِيُّ الْعِرَاقِيُّ فِي بَغْدَاد (1366هـ)
大马士革阿拉伯语学会（1919年）	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ بِدِمَشْق (1337هـ)
开罗阿拉伯语大学会（1932年）	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ بِالْقَاهِرَة (1350هـ)
黎巴嫩科学学会（1920年）	الْمَجْمَعُ الْعِلْمِيُّ اللُّبْنَانِيّ (1338هـ)
利比亚阿拉伯语学会	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ اللِّيبِيّ
麦加阿拉伯语网上学会	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ عَلَى الشَّبَكَةِ الْعَالَمِيَّةِ فِي مَكَّةَ الْمُكَرَّمَة
摩洛哥王国学院 – 阿拉伯化联络局 – 拉巴特 – 摩洛哥	أَكَادِيمِيَّةُ الْمَمْلَكَةِ الْمَغْرِبِيَّةِ "مَكْتَبُ تَنْسِيقِ التَّعْرِيب" (الرِّبَاط – الْمَغْرِبُ)
沙迦阿拉伯语学会（2016年）	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ بِالشَّارِقَة (الإمارات – 1437هـ)
苏丹国阿拉伯语学会（1933年）	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ السُّودَانِيّ (1351هـ)
突尼斯智慧宫局	مُؤَسَّسَةُ بَيْتِ الْحِكْمَةِ فِي تُونُس
也门阿拉伯语学院	مَعْهَدُ الْيَمَنِ لِلُّغَةِ الْعَرَبِيَّة
约旦阿拉伯语学会 （1927年）	مَجْمَعُ اللُّغَةِ الْعَرَبِيَّةِ الْأُرْدُنِيّ (1345هـ)
汉语阿拉伯语成语、格言和流行语	الْأمْثَالُ، وَالْمَأْثُورَاتُ، وَالْحِكَمُ السَّائِرَةُ بَيْنَ الْعَرَبِيَّةِ وَالصِّينِيّةِ
爱不释手；由于爱吃椰枣其核也被啜（chuài）	مِنْ شَهْوَةِ التَّمْرِ يَمُصُّ النَّوَى
爱莫能助；眼高手低	الْعَيْنُ بَصِيرَةٌ وَالْيَدُ قَصِيرَةٌ
爱眼不可信；情人眼里出西施	عَيْنُ الْحُبِّ عَمْيَاءُ (أو: عَيْنُ الْمُحِبِّ عَمْيَاء؛ مِثْلُهُ: وَعَيْنُ الرِّضَا عَنْ كُلِّ عَيْبٍ كَلِيلَةٍ... وَعَيْنُ السُّخْطِ تُبْدِي الْمَسَاوِيا؛ عَيْنُ الْهَوَى لَا تَصْدُقُ)
爱眼不明；情人眼里出西施	عَيْنُ الْهَوَى لَا تَصْدُقُ (مِثْلُهُ: وَعَيْنُ الرِّضَا عَنْ كُلِّ عَيْبٍ كَلِيلَةٍ... وَعَيْنُ السُّخْطِ تُبْدِي الْمَسَاوِيا)
安不忘危；打结的人！你要记得如何解决！做事前要看清后果；小心翼翼；办事务必看清后果	يَا عَاقِدُ! أُذْكُرْ حَلًّا!
安不忘危；小心翼翼；谨小慎微；比鱼狗还警觉、还小心；非常警觉	أَحْذَرُ مِنْ قِرِلَّى
昂然自得；饱暖生淫欲；保汉不知饿汉饥	الشَّبْعَانُ يَفُتُّ لِلْجَائِعِ فَتًّا بَطِيئًا
熬更守夜；比萤（yíng）火虫更能熬夜	أَسْهَرُ مِنْ قُطْرُبٍ
拔苗助长；在稀泥上加水；火上加油；越来越糟；每况愈下	زَادَ الطِّينَ بَلَّةً
白璧无瑕；比出嫁给外族人的姑娘的镜子更洁净	أَنْقَى مِنْ مِرْآةِ الْغَرِيبَةِ
白费力气；绝无可能；龟毛兔角；敲冰求火；鸟鸦再叫也叫不出雨来	لَيْسَ بِصِياحِ الْغُرابِ يَجئُ الْمَطَرُ
白驹过隙；光阴如箭；日月如梭（suō）；快奔如飞（飞毛腿比箭过得还快）	أَمْضَى مِنَ السَّهْمِ (يُضْرَبُ لاِنْقِضَاءِ الْأَيَّام وَمُرُور الدُّهُور، وَمِثْلُهُ: أَمْضَى مِنَ الْأَجَلِ)
白首穷经；求学不怕远在中国	اطْلُبُوا الْعِلْمَ وَلَوْ فِي الصِّينِ (حِكْمَةٌ مَأْثُورَةٌ)
百尺无枝；奇珍异玩；百年难遇（比蚊子大脑更罕见）	أَعَزُّ مِنْ مُخِّ الْبَعُوضِ
百川归海；你把弓给弓匠去处理吧！办事找内行；拜能者为师	أَعْطِ الْقَوْسَ بَارِيهَا
百忍成金；有志者事竟成；谁坚忍，谁就胜利	مَنْ صَبِرَ ظَفِرَ
百岁老人；高寿、长寿；长命百岁，寿比南山；饱经风霜	أَكَلَ الدَّهْرُ عَلَيْهِ وَشَرِب
百闻不如一见；耳闻不如目睹	لَيْسَ الْعِيَانُ كَالْخَبَرِ (أو: لَيْسَ الْخَبَرُ كَالْمُعَايَنَةِ، أو: لَيْسَ بَعْدَ الْعَيْنِ أَيْنٌ، أو الْعِيَانُ لَا يَحْتَاجُ إِلَى بَيَانِ)
百闻不如一见；眼睛知道，故流泪；即：某人亲眼目睹，故知事情真相	عَيْنٌ عَرَفَتْ فَذَرَفَتْ
百无一用，一无可取；忠言逆耳；忠告对他不起作用	جِلْدُ الْخَنْزِيرِ لَا يَندَبِغُ
百依百顺；比麦加的鸽子（或比狗）还温顺，	آلَفُ مِنْ حَمَامِ مَكَّةَ (أو: آلَفُ مِنْ كَلْبٍ)
百依百顺；驯（xún）服工具	أَبَرُّ مِنْ هِرَّةٍ
班门弄斧；把椰枣带到椰枣产地巴士拉	يَحْمِلُ التّمْر إِلَى الْبَصْرَة
班门弄斧；关公面前舞大刀（某人喻鲸鱼赛潜水；跟比自己有学问的辩论）	قَامَسَ حُوتًا (إذا نَاظَرَ أو خَاصَمَ قَرنًا هُوَ أعْلَمُ مِنْهُ)
包公再世	أَعْدَلُ مِنْ مِيزَانٍ
杯弓蛇影；草木皆兵；战战兢兢；战战赫赫；比鸵鸟更易受惊而跑，比鸵鸟更易惊逃	أَنْفَرُ مِنْ نَّعَامَةٍ
杯水车薪；杯水救薪；无济于事；区区细雨无济于辽阔的干谷	مَا تَنْفَعُ الشَّعْفَةُ فِي الْوَادِي الرُّغُبِ
卑躬屈膝；做小伏低（比鞋带还低贱）	أَدْنَأُ مِنَ الشِّسْعِ (مِثْلُهُ: أَوْطَى مِن الْجزْمَة "عَامِّيَّةٌ مِصْرِيَّة")
本性难移（江山易改）	الطَّبْعُ أَغْلَبُ (أو: الطَّبْعُ غَلَّابٌ)
笨手笨脚；行动缓慢	أَبْلَدُ مِنْ سُلْحُفَاةٍ
逼上梁山；逼不得已；迫不得已；不由自主	مُكْرَهٌ أَخُوكَ لَا بَطَلٌ (مِثْلُهُ: مُجْبَرٌ أَخُوكَ لَا بَطَلٌ)
比凤凰更（罕见）珍贵；凤毛麟角	أَعَزُّ مِنْ عَنْقاءَ مُغْرِبُ
比上不足，比下有余；上方不足，下比有余；不上不下；不求最好，但求有之（水，不必如赛达水）	مَاءٌ وَلَا كَصَدَّاءٌ
彼此敌对；不共戴天；誓不两立；我和他间有军火市场	بَيْنِي وَبَيْنَهُ سُوقُ السِّلَاحِ (مِثْلَ قَوْلِهِم: بَيْنَ الْقَوْمِ مَا صَنَعَ الْحَدَّادُ)
闭月羞花；白璧无瑕；十分完美；比满月更完整；完美无缺	أَتِمُّ مِنْ قَمَرِ التَّمّ
敝帚自珍；敝帚千金，爱惜羽毛；比蚂蚁还珍惜、或还在意	أَحْرَصُ مِنْ نَّمْلَةٍ
辩才无碍，能言善辩；能说会道；出口成章；巧舌如簧；滔滔不绝；妙语连珠；对答如流；娓娓动听；舌战群儒；伶牙俐齿；慧心妙舌；辩口利辞；夸夸其谈；天花乱坠；能言快语；言必有中；鼓吻弄舌；口如悬河；舌尖口快；恬言柔舌（比“萨合班.瓦伊勒”（阿拉伯历史中的一位诗人并善于雄辩）更善辩）	أَخْطَبُ مِنْ سَحْبانَ وَائلٍ (مثله : أَنْطَقُ مِنْ سَحْبَانَ، أَبْلَغُ مِنْ قَسِّ "بن ساعدة الأيادي")
表里不一；迎合你而伤心；逢场作戏遐伤心（你的眼睛在流泪，心在娱乐）	عَيْنُكَ عَبْرَى وَالْفُؤَادُ فِي دَدِ
冰清玉洁；比蜜蜂的蜜更纯净	أَصْفَى مِنْ جَنَى الْعَسَلِ (أو: أَصْفَى مِنْ جَنَى النَّحْلِ)
并驾齐驱；方骖并路；齐轨连辔；不相上下；势均力敌；平分秋色（他俩如两匹赛马）	هُمَا كَفَرَسَيّ رَهَانٍ
病从口入；少吃无病	خَفِّفْ طَعَامَكَ تَأْمَنْ سِقَامَكَ
不辨菽麦；呆头呆脑；愚不可及；愚昧无知；騃童钝夫；比咀嚼（jǔjué）水者（或抓水者）还蠢（chǔn）	أَحْمَقُ مِنْ نَّعَامَةٍ (أو: أَحْمَقُ مِنْ مَاضِغِ الْمَاءِ أو أَحْمَقُ مِنَ الْقَابِضِ عَلَى الْمَاءِ)
不成功，便成仁	إمَّا هُلْكٌ وَإِمّا مُلْكٌ (أي: إِمَّا أَنْ أَهْلِكَ وَإِمَّا أَنْ أَمْلِك)
不吃苦不知足；身在福中不知福（谁步行，谁就会对乘骑过的车马满意）	مَنْ يَّمْشِ يَرْضَ بِمَا رَكِبَ
不打不相识	مَا مَحَبَّةٌ إِلَّا بَعْدَ عَدَاوَةٍ
不分黑白；对错不分；是非不明；不辨菽麦；爱憎分明；他不知顺从和违抗）	لَا يَعْرِفُ قَبِيلَهُ مِنْ دَبِيرِه (يعني: لَا يَعْرِفُ طَاعَتَهُ مِنْ مَعْصِيَتِهِ)
不分皂白；不辨菽麦；一无所知；不知好歹他不知道谁是亲近者谁是远离者	لَا يَعْرِفُ قَبِيلًا مِنْ دَبِيرٍ
不共戴天；风马牛不相及；（山顶上的）山羊和（平原上的）鸵鸟不会聚集在一起；两种相差巨大不会聚集在一起	مَا يَجْمَعُ بَيْنَ الْأَرْوَى وَالنَّعَام
不共戴天；冷若冰霜；两个人性格不合难以相处	أَنَا تَئِقٌ وَأَنْتَ مَئِقٌ فَكَيْفَ نَتَّفِقُ
不可企及；身先士众；马尘不及；迎头赶上	مَا يُشَقُّ غُبَارُهُ
不可言，只能意会；所可意会，并不算可言传；不是所有能理解的事都能说的明白的	مَا كُلُّ مَا يُعِلْمْ يُقالُ
不可一概而论；具体事要具体对待；并非所有雷云都会献出其雨水	مَا كُلُّ بارِقَةٍ تَجُودُ بِمَائِها
不可一概而论；具体问题要具体分析（从贝壳中出来的可能不是珍珠）	قَدْ يَخْرُجُ مِنَ الصَّدَفِ غَيْرُ دُرَرٍ
不了了之；人已杀责之晚矣，先斩后秦，不宣而诛；无可如何；残灯末庙；草草了事；尘埃落定；封刀挂剑；铸甲销戈（宝剑走在斥责的前面）	سَبَقَ السَّيْفُ الْعَذَلَ (يُضْرَبُ لِمَا فَاتَ وَلَا يُسْتَدْرَك)
不履行诺言（或食言）丢脸，如同索回礼物丢脸一样	يَقْبَحُ إخْلَافُ الْعِدَةِ كَمَا يَقْبَحُ اسْتِرْجَاعَ الْعَطِيَّةِ
不毛之地；一片光秀；穷山恶水；穷乡僻壤；比秀头顶更光秀	أَجْرَدُ مِنْ صَلَعَةٍ
不入虎穴，焉得虎子	مَنْ لَمْ يَرْكَبِ الْأَهْوَالَ لَمْ يَنَلِ الْآمَال
不入虎穴，焉得虎子；不冒风险就不会有收获	مَنْ لَمْ يُخاطِرْ لمْ يَجِد
不慎言，招恶语；说话不当，听话不好	مَنْ قَالَ مَا لَا يَنْبَغِي سَمِعَ مَا لَا يَشْتَهِي
不肖子孙；败家子；害群之马；比蝗虫更败坏	أَفْسَدُ مِنَ الْجَرَادِ
不屑一顾；无足轻重；比灰尘还轻	أَخَفُّ مِنَ الْهَبَاءِ (أو: أَخَفُّ مِنَ النَّسِيمِ)
不知所措；惊慌失措；手足无措；心慌意乱	أَحْيَرُ مِنْ ضَبٍّ
不知真假；不辨菽麦；爱憎不分；愚昧无知；騃童钝夫；不了解事情真相；被蒙在鼓里	لَا يَعْرِفُ الْحَيَّ مِنَ اللَّيّ، لَا يَعْرِفُ الْحَوَّ مِنَ اللَّو
不值一文；一文不值；比泥土更廉价（或便宜）	أَرْخَصُ مِنْ تُرابٍ
残暴不仁；东冲西决；比泛滥更残暴	أَطْغَى مِنَ السَّيْلِ (أو: أَغْشَمُ)
沧海桑田；好运厄运，变化莫测	أَجْفَى مِنَ الدَّهْرِ
藏污纳垢（gòu）；匿影藏形；黑夜更能掩盖坏事	اللَّيْلُ أَخْفَى لِلْوَيْلِ
草木皆兵；杯弓蛇影；战战兢兢；战战赫赫	أَنْفَرُ مِنْ بَعِيرٍ أزَبَّ
豺狐之心；危于累卵；狐凭鼠伏；比狐狸还狡猾	أَرْوَغُ مِنْ ثُعَالَةٍ (مِثْلُهُ: أَرْوَغُ مِنْ ثَعْلَبٍ)
常在河边走，难免不湿鞋；近墨者黑	مَنْ حَامَ حَوْلَ الْحِمَى يُوشِكُ أَنْ يَقَعَ فِيهِ
朝令夕改（朝令暮改）；夜晚的话被白天抹去了	كَلَامُ اللَّيْلِ يَمْحُوهُ النَّهْارُ
沉思良久，出言仍蹩（bié）脚	سَكَتَ أَلْفًا وَنَطَقَ خَلْفًا
成事不足，败事有余；过大于功；建一座大厦，毁一座城市	يَبْنِي قَصْرًا وَيَهْدِمُ مِصْرًا
城门失火，殃及池鱼；一家犯罪，十户受灾	قَدْ يُؤْخَذُ الْجَارُ بِذَنبِ الْجَارِ
吃一堑长一智；每个挫折都能使人增长理解力	كُلُّ عَثْرَةٍ تَزِيدُ الْإِنْسَانَ فِطْنَةً
赤贫如洗，一无所有；一贫如洗；不名一文；身无分文；家徒四壁；家徒壁立；他没有放牧在外的牲畜，也没有回家进圈的牲畜	مَا لَهُ سَارِحَةٌ وَلَا رَائِحَةٌ (مِثْلُهُ: مَا لَهُ ثَاغٍ وَلَا رَاغٍ، أَنْقَى مِنْ رَاحَةِ الْيَدِ، بَاتَ يَشْوِي الْقِرَاحَ، مَا لَهُ سَبْدٌ وَلَا لَبْدٌ)
臭不可闻；臭气冲天；比狮子更口臭	أبْخَرُ مِنْ أَسَدٍ
臭气冲天；臭不可闻	أبْخَرُ مِنْ صَقْرٍ (أو: مِنْ أَسَدٍ أو مِنْ فَهْدٍ)
出门先结伴	الرَّفِيقُ قَبْلَ الطَّرِيقِ
吹牛大王；爱吹牛说大话	أَنْفٌ فِي السَّمَاءِ وَاسْتٌ فِي الْمَاءِ
吹牛大王；班门弄斧；不懂装懂；关公面前舞大刀	كَالْحَادِي وَلَيسَ لهُ بَعِيرُ
唇齿相须；唇齿相依；唇辅相连；比纽扣与纽襻更相依	أَلْزَمُ مِنْ زِرٍّ لِعُرْوَةٍ (أو: مِنَ الْيَمِينِ لِلشِّمَالِ، مِثْلُهُ: أَلْزَمُ لِلْمَرْءِ مِنْ ظِلِّهِ)
辞金蹈海；慷慨激昂；比啄（zhuó）食鸟更慷慨）	أَسْمَحُ مِنْ لَاقِطَةٍ
从头到尾；彻头彻尾；自始至终	بِقَضِّهِ وَقَضِيضِهِ
村野匹夫；大人先生“消极”；泥猪疥狗；泥猪瓦狗；乞儿马医；比故艾斯对于他姑妈来说更卑贱	أَهْوَنُ مِنْ قُعَيْسٍ عَلَى عَمَّتِهِ
寸铁杀人；少而精好于多而差	مَا طَابَ وَنَزُرَ خَيْرٌ مِّمَّا خَبُثَ وَغَزُرَ
磋悔无及；噬脐莫及，悔之不及；悔之晚矣；比柯赛厄更后悔	أَنْدَمُ مِنَ الْكُسْعِيّ
达地知根；目知眼见；比手到嘴指引得更好；比手指引到嘴善于指引	أَهْدَى مِنَ الْيَدِ إِلَى الْفَمِّ
打马虎眼；招摇撞骗；吃一堑长一智；什么地方摔倒什么地方爬起来	حَيْثُمَا سَقَطَ لَقَط (يُضْرَبُ لِلْمُحْتَال)
大难不死，必有后福；谁死里逃生，谁就赚了一条命	مَنْ نَّجَا بِرَأْسِهِ فَقَدْ رَبِحَ
呆若木鸡；呆头呆脑	أَبْلَهُ مِنَ الْحُبَارَى
胆小如鼠；畏首畏尾	أَجْبَنُ مِنْ نَّعَامَةٍ (أو: أَجْبَنُ مِنْ صَافِرٍ)
刀头剑首；两面受功腹背受敌；两头受气；虎口拔牙；他处于铁锤和铁砧之间	هُوَ بَيْنَ الْمِطْرَقَةِ وَالسِّنْدانِ (يَعْنِي: بَيْنَ أَمْرَيْنِ كِلَاهُمَا شَرٌّ، مِثْلُهُ: بَيْنَ خِيَارَيْنِ أَحْلَاهُمَا مُرٌّ)
倒打一耙（pá），贼喊捉贼；也许责备别人者自己该受人责备的事	رُبَّ لَائِمٍ مُلِيمٌ
倒霉透顶；不吉至极	أَشْأَمُ مِنْ بَسُوسٍ
倒霉透顶；十分不吉利	أَشْأَمُ مِنْ غُرَابِ الْبَيْنِ
倒霉至极，极为不吉；生不逢辰；时运不济；比一个掘墓人更不吉利	أَشْأَمُ مِنْ حَفَّارٍ
得不偿失；空手而归	رَجَعَ بِخُفَّيْ حُنَيْن
得寸进尺；获陇望蜀；假如我喂他吃蜜，他必咬我手指	لَوْ أَلْقَمْتُهُ عَسَلًا لَعَضَّ إِصْبَعِي
地久天长；二童一马；比陪伴两个北斗星更长	أَطْوَلُ صُحْبَةً مِنَ الْفَرْقَدَيْنِ
度日如年；一日三秋；比斋月更长	أَطْوَلُ مِنْ شَهْرِ الصَّوْمِ
对牛弹琴；白费口感	نَزَلَتْ كَلِمَتُهُ بِوادٍ غَيْرِ ذِي زَرْعٍ (نَزَلَتْ مِنْهُ بِوَادٍ غَيْرِ ذِي زَرْعٍ)
对事物深究时，才能遂所愿；慢工出细活；随着不断搅拌，才显奶油	مَعَ الْمَحْضِ يَبْدُو الزَّبَدُ
多言少干；善于多言，办事粗鲁；如同磨石面能磨砺，不能切割；某人善于劝导不善于办事	كَصَحِيفَةِ الْمِسَنِّ تَشْحَذُ وَلَا تتَقْطَعُ
恶行恶报	مَنْ يَّعْمَلْ سُوءًا يُجْزَ بِهِ
恶有恶报，善有善报 [古兰]	فَمَنْ يَعْمَلْ مِثْقَالَ ذَرَّةٍ خَيْرًا يَرَهُ، وَمنْ يَعْمَلْ مِثْقَالَ ذَرَّةٍ شَرًّا يَرَهُ (قُرْآن كَرِيم)
恩将仇报；忘恩负义；鸮鸟生翼；辜恩负义；我天天教他射箭，他翅膀一硬，就射起我来了	أُعَلِّمُهُ الرِّمَايَةَ كُلَّ يَوْمٍ ~ فَلَمَّا اشْتَدَّ سَاعِدُهُ رَمَانِي (مِثْلُهُ: أَحُشُّكَ وَتَرُوثُنِي، أو: جَزَاءَ سِنِمّار)
儿马生驹；铁树开花	الْأَبْلَقُ الْعَقُوقُ
耳闻不如目睹；眼见不需言表；听消息不像眼所见；目睹毋需言表，百闻不如一见；耳闻不如目见	الْعِيَانُ لَا يَحْتَاجُ إِلَى بَيَانِ (مِثْلُهُ: لَيْسَ بَعْدَ الْعَيْنِ أَيْنٌ؛ أو لَيْسَ الْعِيَانُ كَالْخَبَر؛ لَيْسَ رَاءٍ كَمَنْ سَمِعَا، لَيْسَ الْخَبَرُ كَالْمُعَايَنَة)
